id_station,date,t(t-r),n,kp,RRR,T,Td,sss
30521,2017-01-01 00:00:00,-83.81078125000002,0.0,0.0,0.0,-25.8875,-29.125,31.0
30521,2017-01-02 00:00:00,-86.61656250000001,0.0,0.0,0.0,-22.425,-26.2875,30.0
30521,2017-01-03 00:00:00,-29.66562500000002,0.0,0.0,2.0,-10.7875,-13.537500000000001,36.0
30521,2017-01-04 00:00:00,30.6784375,0.0,0.0,0.0,3.1750000000000003,-6.4875,5.0
30521,2017-01-05 00:00:00,55.845,0.0,0.0,1.0,6.8,-1.4124999999999999,
30521,2017-01-06 00:00:00,55.47609375,0.0,55.47609375,5.0,11.9625,7.325,
30521,2017-01-07 00:00:00,300.71250000000003,1.0,356.18859375000005,0.0,24.3,11.925,
30521,2017-01-08 00:00:00,161.85125000000002,2.0,518.03984375,0.0,20.4875,12.5875,
30521,2017-01-09 00:00:00,51.54968749999999,3.0,569.58953125,2.0,14.075,10.4125,
30521,2017-01-10 00:00:00,4.273125000000001,4.0,573.8626562500001,0.0,1.0750000000000002,-2.9,
30521,2017-01-11 00:00:00,-23.1,5.0,550.7626562500001,0.3,-8.8,-11.425,2.0
30521,2017-01-12 00:00:00,-60.09609374999998,6.0,490.6665625000001,2.0,-16.1875,-19.9,16.0
30521,2017-01-13 00:00:00,-178.14984374999992,7.0,312.5167187500002,0.0,-36.6375,-41.5,28.0
30521,2017-01-14 00:00:00,-134.25187499999993,8.0,178.2648437500003,0.0,-30.8625,-35.2125,28.0
30521,2017-01-15 00:00:00,-91.119375,9.0,87.1454687500003,0.2,-25.05,-28.6875,28.0
30521,2017-01-16 00:00:00,-75.91937500000002,10.0,11.226093750000288,0.8,-23.45,-26.6875,29.0
30521,2017-01-17 00:00:00,-122.8859375,11.0,-111.65984374999972,0.3,-31.7125,-35.5875,29.0
30521,2017-01-18 00:00:00,-152.775,12.0,-264.4348437499997,0.2,-33.95,-38.45,30.0
30521,2017-01-19 00:00:00,-125.0906250000001,13.0,-389.5254687499998,0.3,-30.325,-34.45,30.0
30521,2017-01-20 00:00:00,-109.37953124999986,14.0,-498.9049999999996,0.9,-29.462500000000002,-33.175,30.0
