station,date,t(t-r),n,kp,RRR,T,Td,sss
Бодайбо,2017-01-11,,0.0,0.0,,-7.375,,
Бодайбо,2017-01-12,,0.0,0.0,,-33.875,,
Бодайбо,2017-02-11,,0.0,0.0,,-9.25,,
Бодайбо,2017-02-12,,0.0,0.0,,-36.375,,
Бодайбо,2017-03-11,,0.0,0.0,,-11.25,,
Бодайбо,2017-03-12,,0.0,0.0,,-33.857142857142854,,
Бодайбо,2017-04-11,,0.0,0.0,,-7.5,,
Бодайбо,2017-04-12,,0.0,0.0,,-29.571428571428573,,
Бодайбо,2017-05-11,,0.0,0.0,,0.75,,
Бодайбо,2017-05-12,,0.0,0.0,,-31.875,,
Бодайбо,2017-06-11,,0.0,0.0,,-3.875,,
Бодайбо,2017-06-12,,0.0,0.0,,-31.375,,
Бодайбо,2017-07-11,,0.0,0.0,,-5.5,,
Бодайбо,2017-07-12,,0.0,0.0,,-23.75,,
Бодайбо,2017-08-11,,0.0,0.0,,-5.125,,
Бодайбо,2017-08-12,,0.0,0.0,,-20.375,,
Бодайбо,2017-09-11,,0.0,0.0,,-6.25,,
Бодайбо,2017-09-12,,0.0,0.0,,-27.625,,
Бодайбо,2017-10-11,,0.0,0.0,,-7.625,,
Бодайбо,2017-10-12,,0.0,0.0,,-38.5,,
Бодайбо,2017-10-13,,0.0,0.0,,-0.375,,
Бодайбо,2017-10-14,,0.0,0.0,,0.0,,
Бодайбо,2017-10-15,,0.0,0.0,,-4.25,,
Бодайбо,2017-10-16,,0.0,0.0,,-12.5,,
Бодайбо,2017-10-17,,0.0,0.0,,-8.75,,
Бодайбо,2017-10-18,,0.0,0.0,,-3.625,,
Бодайбо,2017-10-19,,0.0,0.0,,-6.875,,
Бодайбо,2017-10-20,,0.0,0.0,,-10.25,,
Бодайбо,2017-10-21,,0.0,0.0,,-14.25,,
Бодайбо,2017-10-22,,0.0,0.0,,-12.0,,
Бодайбо,2017-10-23,,0.0,0.0,,-4.125,,
Бодайбо,2017-10-24,,0.0,0.0,,0.25,,
Бодайбо,2017-10-25,,0.0,0.0,,-4.5,,
Бодайбо,2017-10-26,,0.0,0.0,,-10.125,,
Бодайбо,2017-10-27,,0.0,0.0,,-7.25,,
Бодайбо,2017-10-28,,0.0,0.0,,-1.5,,
Бодайбо,2017-10-29,,0.0,0.0,,-0.75,,
Бодайбо,2017-10-30,,0.0,0.0,,-5.5,,
Бодайбо,2017-10-31,,0.0,0.0,,-3.125,,
Бодайбо,2017-11-10,,0.0,0.0,,0.6666666666666666,,
Бодайбо,2017-11-11,,0.0,0.0,,-12.0,,
Бодайбо,2017-11-12,,0.0,0.0,,-43.125,,
Бодайбо,2017-11-13,,0.0,0.0,,-12.375,,
Бодайбо,2017-11-14,,0.0,0.0,,-19.0,,
Бодайбо,2017-11-15,,0.0,0.0,,-21.0,,
Бодайбо,2017-11-16,,0.0,0.0,,-22.625,,
Бодайбо,2017-11-17,,0.0,0.0,,-22.0,,
Бодайбо,2017-11-18,,0.0,0.0,,-30.0,,
Бодайбо,2017-11-19,,0.0,0.0,,-26.5,,
Бодайбо,2017-11-20,,0.0,0.0,,-20.25,,
Бодайбо,2017-11-21,,0.0,0.0,,-16.0,,
Бодайбо,2017-11-22,,0.0,0.0,,-16.625,,
