district,NP,station,number,lat_station,lon_station,lat,lon,poly_wkt,centroid
Мамско-Чуйский,Витимский,Мама,30157,58.3,112.9,,,"POLYGON ((113.247333 58.219396, 113.247584 58.220527, 113.247904 58.22081799999999, 113.250709 58.221005, 113.254092 58.221753, 113.256241 58.222106, 113.263114 58.22239099999999, 113.264471 58.222122, 113.265769 58.223782, 113.265937 58.225564, 113.268431 58.22582, 113.269349 58.222711, 113.275408 58.222462, 113.276026 58.221142, 113.273728 58.220828, 113.271754 58.221134, 113.269955 58.220904, 113.270025 58.22049999999999, 113.267904 58.220189, 113.266575 58.21992599999999, 113.263579 58.21948099999999, 113.261932 58.219021, 113.260343 58.21861699999999, 113.258664 58.218549, 113.255426 58.21852699999999, 113.252675 58.218556, 113.248584 58.21901, 113.247333 58.219396))",POINT (113.2614605774248 58.2210857119127)
Мамско-Чуйский,Горно-Чуйский,Улан-Макит,30356,56.366667,114.633333,,,"POLYGON ((111.724134 57.636086, 111.725552 57.636515, 111.726059 57.636762, 111.725916 57.637767, 111.726418 57.638529, 111.726819 57.63889, 111.7272 57.639093, 111.72734 57.639387, 111.728464 57.639808, 111.728921 57.64003899999999, 111.732248 57.64125199999999, 111.735684 57.641842, 111.7371 57.642021, 111.739668 57.642111, 111.742419 57.642317, 111.746048 57.642728, 111.747269 57.64324999999999, 111.752306 57.643879, 111.755071 57.64431099999999, 111.759645 57.645158, 111.760538 57.643091, 111.758572 57.642968, 111.752499 57.642232, 111.749151 57.641732, 111.747907 57.641656, 111.738674 57.64044699999999, 111.738107 57.63894, 111.735425 57.63775099999999, 111.734292 57.637321, 111.734768 57.636883, 111.734832 57.63426, 111.734004 57.634023, 111.733357 57.632312, 111.732183 57.631881, 111.731142 57.631792, 111.729011 57.632358, 111.727891 57.632334, 111.726141 57.634414, 111.724722 57.635481, 111.724134 57.636086))",POINT (111.7370418845767 57.63877546652273)
Мамско-Чуйский,Камчатка,Леприндо,30374,56.65,117.566667,,,POINT(113.366667 58.3),POINT (113.366667 58.3)
Мамско-Чуйский,Рысья,Витим,30054,59.45,112.583333,,,"POLYGON ((112.149075 57.693762, 112.150472 57.695, 112.153015 57.694693, 112.159325 57.69447599999999, 112.161002 57.696837, 112.166676 57.696127, 112.166323 57.694072, 112.17297 57.69316999999999, 112.178945 57.692951, 112.178521 57.690245, 112.174771 57.689888, 112.167107 57.688201, 112.164768 57.687557, 112.164253 57.686684, 112.161378 57.687017, 112.161635 57.687914, 112.160219 57.688638, 112.15906 57.689384, 112.156249 57.69065399999999, 112.153277 57.692932, 112.149075 57.693762))",POINT (112.1646347418474 57.69190133653576)
Мамско-Чуйский,Садки,Витим,30054,59.45,112.583333,,,"POLYGON ((112.028255 59.182365, 112.028426 59.18367, 112.030433 59.18356, 112.031838 59.183361, 112.033651 59.18306399999999, 112.03511 59.183433, 112.037599 59.182849, 112.037814 59.182447, 112.036355 59.182078, 112.03451 59.18180899999999, 112.032149 59.181445, 112.03054 59.18115299999999, 112.029531 59.181258, 112.028287 59.181544, 112.028255 59.182365))",POINT (112.0321674877272 59.18245819673459)
Мамско-Чуйский,Согдиондон,Улан-Макит,30356,56.366667,114.633333,,,"POLYGON ((111.946012 59.202087, 111.947633 59.202741, 111.949724 59.202704, 111.950604 59.203287, 111.952321 59.202803, 111.952334 59.203446, 111.953425 59.203343, 111.953694 59.201625, 111.953864 59.20075499999999, 111.954142 59.199806, 111.954491 59.19931399999999, 111.955373 59.19727899999999, 111.953522 59.19718899999999, 111.953651 59.19687, 111.953179 59.196782, 111.952299 59.197639, 111.950733 59.199226, 111.948544 59.200778, 111.946012 59.202087))",POINT (111.9515220810406 59.20056536337489)
Мамско-Чуйский,Чуя,Витим,30054,59.45,112.583333,,,"POLYGON ((112.408219 59.264067, 112.410454 59.264663, 112.414896 59.26562699999999, 112.416661 59.26587499999999, 112.419584 59.26653899999999, 112.425661 59.26770699999999, 112.430324 59.268834, 112.432809 59.269541, 112.436155 59.27063099999999, 112.438112 59.271349, 112.44102 59.269169, 112.439546 59.268552, 112.436263 59.268091, 112.432831 59.26673, 112.430728 59.266389, 112.428067 59.265862, 112.422723 59.264564, 112.418068 59.263666, 112.418432 59.263081, 112.417638 59.26284, 112.417209 59.26307, 112.415043 59.263433, 112.413493 59.263229, 112.413214 59.264217, 112.408219 59.264067))",POINT (112.4262061492674 59.26679283867658)
Мамско-Чуйский,Воронцовка,Мама,30157,58.3,112.9,,,"POLYGON ((112.897699 58.853184, 112.897715 58.854176, 112.898542 58.854172, 112.899993 58.854066, 112.900007 58.853136, 112.897699 58.853184))",POINT (112.8988393071642 58.85364896922826)
Мамско-Чуйский,Колотовка,Мама,30157,58.3,112.9,,,"POLYGON ((113.188031 58.219567, 113.188637 58.220582, 113.191718 58.22029999999999, 113.195072 58.219863, 113.198792 58.219024, 113.199637 58.21864, 113.200601 58.218251, 113.20086 58.217892, 113.201492 58.217354, 113.203915 58.21677, 113.20875 58.214987, 113.2111 58.214343, 113.210972 58.21385799999999, 113.213652 58.21313, 113.212284 58.211955, 113.20997 58.212512, 113.208626 58.212595, 113.204261 58.213416, 113.204942 58.214109, 113.202484 58.21461499999999, 113.201748 58.21440399999999, 113.200977 58.214478, 113.199154 58.21381, 113.196766 58.214647, 113.195202 58.213915, 113.193359 58.21349499999999, 113.192628 58.213826, 113.195217 58.21463199999999, 113.193142 58.216385, 113.193435 58.21681599999999, 113.192009 58.217802, 113.192496 58.218363, 113.188031 58.219567))",POINT (113.1999397233988 58.21622777268929)
Мамско-Чуйский,Луговский,Мама,30157,58.3,112.9,,,"MULTIPOLYGON (((112.887024 58.062487, 112.887691 58.062058, 112.886613 58.06073199999999, 112.887022 58.060468, 112.88795 58.05848899999999, 112.888303 58.05659499999999, 112.888225 58.056117, 112.888461 58.05580999999999, 112.888495 58.054609, 112.88812 58.05415799999999, 112.886965 58.054018, 112.886118 58.054243, 112.885676 58.055766, 112.885052 58.057145, 112.884918 58.05759699999999, 112.884508 58.057907, 112.884174 58.058411, 112.883879 58.058706, 112.882918 58.059264, 112.881926 58.05963999999999, 112.883519 58.060648, 112.884734 58.06197299999999, 112.885969 58.064467, 112.887906 58.064003, 112.887476 58.063465, 112.887024 58.062487)), ((112.882628 58.06797899999999, 112.883221 58.067868, 112.882461 58.066456, 112.882238 58.065829, 112.882172 58.065314, 112.881626 58.064251, 112.880907 58.062984, 112.882336 58.062737, 112.881835 58.062037, 112.8812 58.061346, 112.880413 58.060629, 112.879656 58.060229, 112.878597 58.059894, 112.875801 58.05915899999999, 112.87492 58.059043, 112.873617 58.058979, 112.871856 58.059006, 112.870874 58.059151, 112.870406 58.059664, 112.869958 58.060086, 112.8696 58.0603, 112.869256 58.060727, 112.868086 58.061009, 112.868307 58.061474, 112.869049 58.061889, 112.871713 58.062112, 112.872385 58.062239, 112.873799 58.06269899999999, 112.876069 58.062982, 112.876922 58.063629, 112.877606 58.064517, 112.878965 58.06506, 112.879406 58.065715, 112.880609 58.066835, 112.881096 58.066945, 112.882178 58.06776, 112.882628 58.06797899999999)))",POINT (112.8801157094613 58.06101703960015)
