district,district_url,np,np_url,station,lat,lon,id_station,HubName,HubDist
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Аларь,https://rp5.ru/Погода_в_Аларе,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30606,53488.9214502507
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Александровск,"https://rp5.ru/Погода_в_Александровске,_Иркутская_область",Архив погоды в Заларях,53.55,102.51666666667,30606,30606,25349.1158375335
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Алзобей,https://rp5.ru/Погода_в_Алзобее,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30606,49037.8897409201
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Аляты,https://rp5.ru/Погода_в_Алятах,Архив погоды в Инге,52.966666666667,101.98333333333,30703,30703,31631.6924088479
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Ангарский,"https://rp5.ru/Погода_в_Ангарском,_Иркутская_область","Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,37519.486492158
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Апхульта,https://rp5.ru/Погода_в_Апхульте,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,19860.1928933474
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Аргалей,https://rp5.ru/Погода_в_Аргалее,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,29079.276609787
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Аршан,"https://rp5.ru/Погода_в_Аршане,_Аларский_район","Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,22177.6251288318
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Бахтай,https://rp5.ru/Погода_в_Бахтае,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,37618.1667088217
Аларский район,https://rp5.ru/Погода_в_Аларском_районе,Берестенникова,https://rp5.ru/Погода_в_Берестенниковой,"Архив погоды в Черемхово, Иркутская область",53.166666666667,103.08333333333,30617,30617,20314.6312310885
