"Местное время в Бодайбо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 23:00";"-34.0";"757.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 20:00";"-32.0";"757.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 17:00";"-31.0";"757.0";"";"";"70";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 14:00";"-30.0";"757.0";"";"";"67";"Ветер, дующий с запада";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 11:00";"-31.0";"757.0";"";"";"70";"Штиль, безветрие";"0";"";"";"";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 08:00";"-30.0";"756.0";"";"";"71";"Ветер, дующий с юго-запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 05:00";"-28.0";"756.0";"";"";"75";"Ветер, дующий с запада";"1";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 02:00";"-26.0";"756.0";"";"";"70";"Ветер, дующий с запада";"2";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 23:00";"-26.0";"756.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 20:00";"-25.0";"756.0";"";"";"77";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 17:00";"-24.0";"756.0";"";"";"76";"Штиль, безветрие";"0";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
