"Местное время в Верхне-Марково";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 20:00";"-40.6";"755.2";"785.8";"";"57";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-35.4";"";"";"";"";"";"";"-45.7";"Следы осадков";"12";"";"";"";""
"31.12.2020 14:00";"-37.8";"755.2";"785.5";"";"58";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-43.0";"";"";"";"";"";""
"31.12.2020 05:00";"-43.6";"755.7";"786.8";"";"53";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-49.1";"";"";"";"";"";""
"30.12.2020 23:00";"-38.3";"756.1";"786.4";"";"59";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-43.2";"";"";"";"";"";""
"30.12.2020 20:00";"-41.8";"756.7";"787.6";"";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-36.6";"";"";"";"";"";"";"-47.1";"Осадков нет";"12";"";"";"";""
"30.12.2020 17:00";"-40.6";"757.8";"788.5";"";"56";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-45.9";"";"";"";"";"";""
"30.12.2020 14:00";"-38.0";"759.1";"789.5";"";"57";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"50.0";"-43.3";"";"";"";"";"";""
"30.12.2020 11:00";"-42.6";"761.0";"792.1";"";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-43.7";"";"";"";"";"";"";"4.0";"-48.0";"";"";"";"";"";""
"30.12.2020 08:00";"-43.4";"762.2";"793.6";"";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-43.6";"";"";"";"";"";"";"";"-48.8";"Осадков нет";"12";"";"";"";""
"30.12.2020 05:00";"-43.2";"763.9";"795.4";"";"54";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-48.6";"";"";"";"";"";""
