"Местное время в Леприндо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 21:00";"-29.7";"677.8";"";"";"70";"Ветер, дующий с запада";"1";"";"";"60%.";" ";"";"";"";"-28.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-33.4";"Осадков нет";"12";"";"";"";""
"31.12.2020 15:00";"-28.1";"676.6";"";"";"55";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-34.3";"";"";"";"";"";""
"31.12.2020 12:00";"-29.6";"676.3";"";"";"59";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.1";"";"";"";"";"";""
"31.12.2020 09:00";"-29.7";"675.4";"";"";"59";"Ветер, дующий с юго-запада";"2";"";"";"60%.";" ";"";"";"-30.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0"
"31.12.2020 06:00";"-29.4";"675.3";"";"";"54";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.7";"";"";"";"";"";""
"31.12.2020 03:00";"-29.0";"675.7";"";"";"55";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-35.1";"";"";"";"";"";""
"31.12.2020 00:00";"-28.1";"675.2";"";"";"46";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.1";"";"";"";"";"";""
"30.12.2020 21:00";"-27.5";"675.4";"";"";"57";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-23.9";"";"";"";"";"";"";"-33.4";"Осадков нет";"12";"";"";"";""
"30.12.2020 18:00";"-26.3";"675.4";"";"";"66";"Ветер, дующий с северо-запада";"3";"";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"-30.8";"";"";"";"";"";""
"30.12.2020 15:00";"-24.2";"675.3";"";"";"45";"Ветер, дующий с запада";"6";"10";"14";"60%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-32.7";"";"";"";"";"";""
"30.12.2020 12:00";"-25.1";"675.4";"";"";"52";"Ветер, дующий с запада";"9";"14";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"-32.1";"";"";"";"";"";""
"30.12.2020 09:00";"-25.6";"676.5";"";"";"51";"Ветер, дующий с запада";"8";"15";"15";"70 – 80%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-28.1";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-32.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0"
"30.12.2020 06:00";"-24.7";"677.5";"";"";"46";"Ветер, дующий с запада";"7";"12";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"-32.9";"";"";"";"";"";""
"30.12.2020 03:00";"-23.7";"678.8";"";"";"45";"Ветер, дующий с запада";"7";"12";"16";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-32.2";"";"";"";"";"";""
"30.12.2020 00:00";"-23.6";"678.7";"";"";"45";"Ветер, дующий с западо-северо-запада";"9";"16";"21";"";" ";"";"";"";"";"";"";"";"";"";"";"-32.2";"";"";"";"";"";""
"29.12.2020 21:00";"-23.4";"679.3";"";"";"64";"Ветер, дующий с западо-северо-запада";"10";"19";"21";"90  или более, но не 100%";"Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-23.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-28.3";"Осадков нет";"12";"";"";"";""
"29.12.2020 18:00";"-24.3";"681.0";"";"";"55";"Ветер, дующий с запада";"9";"16";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"-30.8";"";"";"";"";"";""
"29.12.2020 15:00";"-29.5";"682.1";"";"";"62";"Ветер, дующий с северо-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.";"50.0";"-34.4";"";"";"";"";"";""
"29.12.2020 12:00";"-30.7";"683.1";"";"";"66";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.9";"";"";"";"";"";""
"29.12.2020 09:00";"-30.3";"683.8";"";"";"63";"Ветер, дующий с юго-юго-запада";"4";"";"";"40%.";" ";"";"";"-31.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"29.12.2020 06:00";"-30.4";"683.8";"";"";"63";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.2";"";"";"";"";"";""
"29.12.2020 03:00";"-31.4";"683.7";"";"";"60";"Ветер, дующий с юго-юго-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-36.6";"";"";"";"";"";""
"29.12.2020 00:00";"-31.8";"683.9";"";"";"60";"Ветер, дующий с юго-юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.0";"";"";"";"";"";""
"28.12.2020 21:00";"-31.5";"683.5";"";"";"60";"Ветер, дующий с юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"-30.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-36.7";"Осадков нет";"12";"";"";"";""
"28.12.2020 18:00";"-31.3";"682.9";"";"";"62";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.1";"";"";"";"";"";""
"28.12.2020 15:00";"-30.4";"681.7";"";"";"58";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-35.9";"";"";"";"";"";""
"28.12.2020 12:00";"-31.2";"681.5";"";"";"59";"Ветер, дующий с юго-юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.5";"";"";"";"";"";""
"28.12.2020 09:00";"-32.1";"681.2";"";"";"62";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"-33.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-36.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"28.12.2020 06:00";"-32.7";"680.7";"";"";"64";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.2";"";"";"";"";"";""
"28.12.2020 03:00";"-32.3";"680.3";"";"";"68";"Ветер, дующий с западо-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-36.2";"";"";"";"";"";""
"28.12.2020 00:00";"-31.9";"679.9";"";"";"70";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.5";"";"";"";"";"";""
"27.12.2020 21:00";"-33.7";"679.0";"";"";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-28.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-37.3";"Осадков нет";"12";"";"";"";""
"27.12.2020 18:00";"-32.0";"678.1";"";"";"72";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.3";"";"";"";"";"";""
"27.12.2020 15:00";"-28.6";"676.6";"";"";"61";"Ветер, дующий с юго-запада";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-33.7";"";"";"";"";"";""
"27.12.2020 12:00";"-30.6";"676.0";"";"";"69";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.5";"";"";"";"";"";""
"27.12.2020 09:00";"-32.1";"674.8";"";"";"71";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-34.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-35.6";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"27.12.2020 06:00";"-32.8";"674.0";"";"";"71";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.3";"";"";"";"";"";""
