"Местное время в Светлом";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 23:00";"-29.0";"745.0";"";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 20:00";"-24.0";"745.0";"";"";"70";"Ветер, дующий с запада";"3";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 17:00";"-24.0";"745.0";"";"";"64";"Ветер, дующий с запада";"3";"";"";"";"Снег с перерывами слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 14:00";"-24.0";"744.0";"";"";"65";"Ветер, дующий с запада";"4";"";"";"";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 11:00";"-25.0";"744.0";"";"";"64";"Ветер, дующий с запада";"4";"";"";"";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 08:00";"-25.0";"744.0";"";"";"69";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 05:00";"-27.0";"744.0";"";"";"70";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31.12.2020 02:00";"-26.0";"743.0";"";"";"70";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 23:00";"-25.0";"743.0";"";"";"70";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 20:00";"-25.0";"744.0";"";"";"65";"Ветер, дующий с запада";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30.12.2020 17:00";"-24.0";"744.0";"";"";"64";"Ветер, дующий с северо-запада";"3";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
